title,url,discount_price,original_price,User-Agent
2.4GHz 1600dpi Wireless Optical Mouse Mice CMS-11833-C3,https://www.tinydeal.com/24ghz-1600dpi-wireless-optical-mouse-mice-p-168444.html,$3.35,$6.42 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
1/2 pcs Standard 1M Magnetic Charge Cable + Detachable Micro USB Metal Plug EPACB-487297,https://www.tinydeal.com/12-pcs-standard-1m-magnetic-charge-cable-detachable-micro-usb-metal-plug-p-156704.html,$2.58,$6.03 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
1/2 pcs Car Visor Glasses Sunglasses Ticket Clip Holder - Color Assorted RIG-179460,https://www.tinydeal.com/12-pcs-car-visor-glasses-sunglasses-ticket-clip-holder-color-assorted-p-90302.html,$1.23,$3.52 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
Teeth Whitening Pen Tooth Gel Whitener Bleach HBI-113105,https://www.tinydeal.com/teeth-whitening-pen-tooth-gel-whitener-bleach-p-66709.html,$1.87,$5.59 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
M3S Bluetooth 4.0 Smart Bracelet with Blood Oxygen E-568625,https://www.tinydeal.com/m3s-bluetooth-40-smart-bracelet-with-blood-oxygen-p-181701.html,$5.03,$12.92 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
Red Seven Flashing Modes Warning Light Bike Safety Lane - 2 Laser Beam OPJ-480690,https://www.tinydeal.com/red-seven-flashing-modes-warning-light-bike-safety-lane-2-laser-beam-p-156717.html,$2.60,$5.15 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
Multifunction USB 2.0 M2/ TF Card Reader w/ Lanyard CCR-85173,https://www.tinydeal.com/multifunction-usb-20-m2-tf-card-reader-w-lanyard-p-57252.html,$1.40,$1.50 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
10pcs Colorful Rose Flower Plant Seeds TDS-378192,https://www.tinydeal.com/10pcs-colorful-rose-flower-plant-seeds-p-145998.html,$0.72,$2.58 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
Neoprene Short Beach Socks Diving Socks Non-Slip Antiskid Scuba Dive Boots SGD-548443,https://www.tinydeal.com/neoprene-short-beach-socks-diving-socks-non-slip-antiskid-scuba-dive-boots-p-174657.html,$2.90,$3.48 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
216 x 5mm Buckyballs Magic Magnetic DIY Balls FTY-12600,https://www.tinydeal.com/216-x-5mm-buckyballs-magic-magnetic-diy-balls-p-11077.html,$9.89,$16.88 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
