title,year,duration,genre,rating,url,User-Agnet
Back to the Future ,1985,1h 56min,Adventure,8.5,https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Cinema Paradiso ,1988,2h 35min,Drama,8.5,https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Léon: The Professional ,1994,1h 50min,Action,8.5,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Terminator 2: Judgment Day ,1991,2h 17min,Action,8.5,https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
The Usual Suspects ,1995,1h 46min,Crime,8.5,https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
American History X ,1998,1h 59min,Drama,8.5,https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
The Pianist ,2002,2h 30min,Biography,8.5,https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
The Lion King ,1994,1h 28min,Animation,8.5,https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Gladiator ,2000,2h 35min,Action,8.5,https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
The Intouchables ,2011,1h 52min,Biography,8.5,https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
The Departed ,2006,2h 31min,Crime,8.5,https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
The Prestige ,2006,2h 10min,Drama,8.5,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
